holding_company,unit_count_res,unit_count_bus
ICON Technologies Inc.,85874,85874
ICON Technologies Inc.,7510,7510
Independence Light and Power,1432,1432
Independence Light and Power,2442,2442
Industry Telephone Company,1843,1843
Industry Telephone Company,2393,2393
"Info-Ed, Inc.",86,86
Western Elite Incorporated Services,1225,1225
Western Elite Incorporated Services,35,35
Western Elite Incorporated Services,4718,4731
Western Elite Incorporated Services,440,440
Gearheart Communications,37562,37562
Gearheart Communications,5271,5271
"InterBel Telephone Cooperative, Inc.",178,8
"InterBel Telephone Cooperative, Inc.",5444,3299
"Interstate Telecommunications Cooperative, Inc.",29343,29343
"Inventive Wireless of Nebraska, LLC",1755,1755
"Inventive Wireless of Nebraska, LLC",57333,57333
"Inventive Wireless of Nebraska, LLC",229958,229958
Ironton Telephone Company,2178,365
Ironton Telephone Company,2045,157
"Irvine Community Television, Inc.",4888,1069
"Irvine Community Television, Inc.",4888,1069
James Valley Cooperative Telephone Company,12780,12780
James Valley Cooperative Telephone Company,22644,22644
James Valley Cooperative Telephone Company,3076,3076
"JED Enterprises, Inc.",1218,1218
"JED Enterprises, Inc.",391,391
Jefferson Telephone Company,3516,3516
Johnson Telephone Company,51,51
Johnson Telephone Company,3240,3240
"K & M Telephone Company, Inc.",561,561
"K & M Telephone Company, Inc.",260,260
"Kalida Telephone Company, Inc.",1451,268
Kalona Cooperative Telephone Company,11505,11505
Kalona Cooperative Telephone Company,1344,1344
Kalona Cooperative Telephone Company,10364,10364
"KALTELCO, Inc.",3335,387
"KanOkla Telephone Association, Inc.",1137,1137
"KanOkla Telephone Association, Inc.",8630,8630
"KanOkla Telephone Association, Inc.",1477,1477
"KanOkla Telephone Association, Inc.",141064,141064
"Kaplan Telephone Company, Inc.",1557,1557
"Kaplan Telephone Company, Inc.",5738,5738
"Kaplan Telephone Company, Inc.",19083,19083
Kasson & Mantorville Telephone Company,1265,1265
Kasson & Mantorville Telephone Company,7502,7502
"Atlas Connectivity, LLC",205,25
"Atlas Connectivity, LLC",63900,10105
"Atlas Connectivity, LLC",4,0
"Kennebec Telephone Company, Inc.",961,961
"Kentec Communications, Inc.",4771,4771
"Kentec Communications, Inc.",25686,25686
Keystone Farmers Cooperative Telephone Company,1090,1090
Killduff Telephone Company,162,36
"Kinex Telecom, Inc.",13246,13246
Kingdom Telephone Company,20820,20820
Kinsman Mutual Telephone Co.,103,103
Kraus Electronics Systems Inc.,8927,8927
Kraus Electronics Systems Inc.,636,636
La Canada Wireless Association,1413,1413
La Jicarita Rural Telephone Cooperative,172,172
La Jicarita Rural Telephone Cooperative,3682,3682
La Motte Telephone Company,1612,1612
La Motte Telephone Company,1539,1539
"La Ward Telephone Exchange, Inc.",381,381
"La Ward Telephone Exchange, Inc.",1202,1202
"La Ward Telephone Exchange, Inc.",8,8
"LaHarpe Telephone Company, Inc. (KS)",456,101
"LaHarpe Telephone Company, Inc. (KS)",958,50
Lake Livingston Telephone Company,3540,3540
Lake Livingston Telephone Company,2483,2483
"Lakeland Communications, Inc.",2271,2271
"Lakeland Communications, Inc.",10311,10311
"Larson Utilities, Inc.",928,928
"Larson Utilities, Inc.",1469,1469
"Laurel Highland Total Communications, Inc.",200,200
"Laurel Highland Total Communications, Inc.",15254,15254
Laurens Municipal Communications Utility,697,227
"LaValle Telephone Cooperative, Inc.",4498,1592
"Leaco Rural Telephone Cooperative, Inc.",1656,1656
"Leaco Rural Telephone Cooperative, Inc.",12169,12169
"Leaco Rural Telephone Cooperative, Inc.",19145,19145
Lehigh Valley Cooperative Telephone Association,3449,3449
Lemonweir Valley Telephone Company,15251,15251
Lennon Telephone Company,19,1
Lennon Telephone Company,4768,1023
Lennon Telephone Company,116,30
"Leonore Mutual Telephone Co., Inc.",143,143
"Leonore Mutual Telephone Co., Inc.",85,85
STEL-CO,1454,328
STEL-CO,618,143
Liberty Latin America Ltd.,1160164,1160164
Liberty Latin America Ltd.,288438,288438
Liberty Latin America Ltd.,25437,25437
"Ligonier Telephone Co., Inc.",20658,20658
"Lincoln Communications, Inc.",1911,1911
"Lincoln Communications, Inc.",788,788
"Lincoln Communications, Inc.",1408,1408
"Lincoln Telephone Company, Inc.",52,52
"Lincoln Telephone Company, Inc.",1509,1509
Lincolnville Telephone Company,7264,7263
Lincolnville Telephone Company,12903,12904
"Lintel, Inc.",1669,1669
"Lintel, Inc.",4665,4665
"Lintel, Inc.",11214,11214
Lipan Telecommunications Inc.,1882,1882
Lipan Telecommunications Inc.,1629,1629
Lismore Cooperative Telephone Company,1319,1319
Lismore Cooperative Telephone Company,4409,4409
"Logan Telephone Cooperative, Inc.",198,198
"Logan Telephone Cooperative, Inc.",9452,9452
"Logix Communications, LP",0,3923
"Logix Communications, LP",0,10078
Lone Rock Cooperative Telephone Company,336,336
Long Lines,551,166
Long Lines,20038,3325
Long Lines,8771,1015
Long Lines,7,1
Lost Nation-Elwood Telephone Company,1221,1221
Lynnville Telephone Company,475,82
Mabel Cooperative Telephone Company,2212,2212
MADCO Holding Company,5290,5290
"Schwartz Ventures, Inc.",743,743
"Schwartz Ventures, Inc.",9561,9561
"Schwartz Ventures, Inc.",10131,10131
"Madison Telephone, LLC",2322,2322
"Madison Telephone, LLC",56,56
"Madison Telephone, LLC",4716,4716
"Magazine Telephone Company, Inc.",403,403
"Magazine Telephone Company, Inc.",911,911
"Magazine Telephone Company, Inc.",53,53
"Mahaska Communication Group, LLC",27369,27369
"Mahaska Communication Group, LLC",1849,1849
Manchester-Hartland Telephone Company,634,634
"Margaretville Telephone Company, Inc.",1842,1842
Mark Twain Rural Telephone Company,3371,3371
Mark Twain Rural Telephone Company,6381,6381
Mark Twain Rural Telephone Company,2466,2466
Mark Twain Rural Telephone Company,36858,36858
Marne & Elk Horn Telephone Company,6614,6614
"Marquette-Adams Telephone Cooperative, Inc.",15968,15968
"Martell Enterprises, Inc.",8180,8180
"Martell Enterprises, Inc.",767,767
"Martell Enterprises, Inc.",880,881
Martelle Cooperative Telephone Association,112,111
Martelle Cooperative Telephone Association,992,992
Martelle Cooperative Telephone Association,103,102
Mashell Inc.,2599,1315
Mashell Inc.,110558,18857
Mashell Inc.,3757,1390
Massena Telephone Company,1031,1031
Massena Telephone Company,2,1
Massena Telephone Company,206,2
"Massillon Cable TV, Inc.",36550,36550
"Massillon Cable TV, Inc.",68489,68887
"Matanuska Telecom Association, Inc.",59881,9148
"Matanuska Telecom Association, Inc.",16732,3543
"NBVDS Investment, LLC",20906,20906
"NBVDS Investment, LLC",15279,15279
"NBVDS Investment, LLC",34841,34841
Court Square Capital Partners,48714,48714
Court Square Capital Partners,30906,31903
McClure Telephone Company,2713,2713
"TrioTel Communications, Inc.",3683,3683
McDonald County Telephone Company,248,248
McDonald County Telephone Company,3674,3675
McDonough Telephone Cooperative Inc.,17676,8936
"McNabb Communications, Inc.",631,631
Mechanicsville Telephone Company,1995,1995
Mediacom Communications Corp.,3316376,3316376
Mediacom Communications Corp.,16799,16799
Mediacom Communications Corp.,119237,119237
MTC Technologies,3144,3144
MTC Technologies,233,233
"Mescalero Apache Telecom, Inc.",1951,1951
"MGW Communications, Inc.",885,885
"MGW Communications, Inc.",8503,8503
"MGW Communications, Inc.",23649,23649
"Micrologic, Inc.",3753,3753
"Micrologic, Inc.",29345,29345
Mid Century Telephone Co-operative,371,371
Mid Century Telephone Co-operative,25251,25251
Midcontinent Communications,775822,775822
Midcontinent Communications,109863,109863
Midcontinent Communications,390349,390349
"Mid-Plains Rural Telephone Cooperative, Inc.",10265,10265
"Mid-Rivers Telephone Cooperative, Inc.",560,560
"Mid-Rivers Telephone Cooperative, Inc.",15069,15069
"Mid-Rivers Telephone Cooperative, Inc.",13278,13278
"Mid-Rivers Telephone Cooperative, Inc.",45,45
"Midstate Communications, Inc. (SD)",8708,8708
"Mid-States Services, LLC",5229,1140
"Mid-States Services, LLC",316,84
Midvale Telephone Exchange,4738,4738
Midvale Telephone Exchange,3693,3931
Midvale Telephone Exchange,47760,47760
Midvale Telephone Exchange,4745,4745
McCammon Enterprises,246,48
"Midwest Telecom of America, Inc.",175,2
Miles Cooperative Telephone Association,5164,5164
"Milford Communications, LLC",2150,2150
"Milford Communications, LLC",2963,2963
Millry Corporation,2467,2467
Millry Corporation,7471,7471
Minburn Telephone Company,3067,3067
Minburn Telephone Company,8976,8976
"Minerva Valley Telephone Company, Inc.",1099,1099
Minford Telephone Company,5180,5180
Modern Cooperative Telephone Company,1629,1629
Molalla Communications Company,7756,7756
"Mon-Cre Telephone Cooperative, Inc.",5813,5813
Monitor Cooperative Telephone Company,601,135
Monon Telephone Company Inc.,2472,2472
Monroe Telephone Company,415,415
Monroe Telephone Company,1747,1747
Griggs County Telephone Company,7372,7499
The Moundridge Telephone Company,2463,2463
Mount Horeb Telephone Company,3373,3373
Mount Horeb Telephone Company,6722,6722
Mount Horeb Telephone Company,2918,2918
Mount Horeb Telephone Company,278,278
"Mountain Rural Telephone Cooperative Corporation, Inc.",20934,20934
MTCO Corporation,4491,4491
MTCO Corporation,13221,13221
"Mud Lake Telephone Cooperative Association, Inc.",235,235
"Mud Lake Telephone Cooperative Association, Inc.",1429,1429
"Mud Lake Telephone Cooperative Association, Inc.",220,220
Mulberry Cooperative Telephone Co. Inc.,31,31
Mulberry Cooperative Telephone Co. Inc.,6621,6621
Mutual Telephone Company (IA),1408,1408
Mutual Telephone Company (IA),9405,9405
Mutual Telephone Company (IA),45613,45613
Mutual Telephone Company (IA),45,3
Mutual Telephone Company (IA),100,10
Mutual Telephone Company (IA),200,11
"Mutual Telephone Company of Morning Sun, Iowa",402,402
"Mutual Telephone Company of Morning Sun, Iowa",1216,1216
"Mutual Telephone Company of Morning Sun, Iowa",10335,10335
"Myakka Communications, Inc.",6137,6137
"NATCO Communications, Inc.",8330,8330
"NATCO Communications, Inc.",5857,5857
North Dakota Telephone Company,22484,22484
"NE Colorado Cellular, Inc.",986,986
"NE Colorado Cellular, Inc.",25944,25944
"NE Colorado Cellular, Inc.",105101,105101
"Nedelco, Inc.",554,554
"Nedelco, Inc.",8037,8040
"Nedelco, Inc.",49644,49644
Nelson Telephone Cooperative,2034,2034
Nelson Telephone Cooperative,5447,5447
"Nemont Telephone Cooperative, Inc.",14058,14058
"Nemont Telephone Cooperative, Inc.",13943,13943
"Nemont Telephone Cooperative, Inc.",6417,6417
"Nemont Telephone Cooperative, Inc.",6813,6813
"NetCarrier Telecom, Inc.",0,1040
New Hope Telephone Cooperative (VA),1113,1113
"New Hope Telephone Cooperative, Inc. (AL)",11913,11913
"New Knoxville Telephone Company/GoldStar Communications, LLC",502,502
"New Knoxville Telephone Company/GoldStar Communications, LLC",307,307
"New Knoxville Telephone Company/GoldStar Communications, LLC",27202,37780
"New Knoxville Telephone Company/GoldStar Communications, LLC",45201,45201
"New Lisbon Telephone Company, Inc.",11062,11062
"New Lisbon Telephone Company, Inc.",7476,1447
"New Paris Telephone Company, Inc.",2803,2803
"New Paris Telephone Company, Inc.",9441,9441
"New Paris Telephone Company, Inc.",29572,29572
"Nuvera Communications, Inc.",30380,30380
"Nuvera Communications, Inc.",1810,1810
"Nuvera Communications, Inc.",43814,43814
"Nuvera Communications, Inc.",5706,5706
"Nuvera Communications, Inc.",14535,14535
"Nuvera Communications, Inc.",4868,4868
"New Windsor Communications, Inc.",630,630
"New Windsor Communications, Inc.",1464,1464
"Next Metro, LLC",0,116
Wittenberg Telephone Company,626,626
Wittenberg Telephone Company,7735,7735
Wittenberg Telephone Company,961,961
NITCO Holding Corporation,12200,12200
NITCO Holding Corporation,3106,3106
NITCO Holding Corporation,12957,13043
NITCO Holding Corporation,145863,145863
Nortex Communications,720,720
Nortex Communications,27476,27476
North Carolina RSA 3 Cellular Telephone Company,409119,409119
"North Central Telephone Cooperative, Inc.",71780,71780
North English Cooperative Telephone Company,587,587
North English Cooperative Telephone Company,923,923
"Northeast Communications of Wisconsin, Inc.",30389,30389
"Northeast Communications of Wisconsin, Inc.",12646,12704
"Northeast Communications of Wisconsin, Inc.",57279,15090
Northeast Iowa Telephone Company,4583,4583
Northeast Iowa Telephone Company,662,662
"Northeast Louisiana Telephone Co., Inc.",2114,599
Northeast Missouri Rural Telephone Company,15004,15004
Northeast Nebraska Telephone Company,11509,11509
Northern Telephone Company/Wilderness Valley Telephone Company,11,11
Northern Telephone Company/Wilderness Valley Telephone Company,164,164
"Northern Telephone Cooperative, Inc.",1297,525
Northwest Communications Cooperative,19089,19089
Northwest Communications Cooperative,29059,29059
Northwest Communications Cooperative Association,603,603
Northwest Communications Cooperative Association,2215,1218
Northwest Communications Cooperative Association,8927,8927
Northwest Communications Cooperative Association,34579,34579
"KCL Enterprises, Inc.",1881,233
Nucla-Naturita Telephone Company,2182,2182
Nucla-Naturita Telephone Company,616,616
Nucla-Naturita Telephone Company,2610,2610
Nunn Telephone Company,1234,1234
"Nushagak Electric & Telephone Cooperative, Inc.",1197,1197
"Nushagak Electric & Telephone Cooperative, Inc.",921,921
OACYS Technology,0,512
OACYS Technology,0,19521
OACYS Technology,0,75981
Ogden Telephone Company,6223,6223
"Olin Telephone Company, Inc.",1591,1591
Northland Telephone Systems,235,235
Northland Telephone Systems,4308,28282
"Oneida Telephone Exchange, Inc.",248,248
"Oneida Telephone Exchange, Inc.",1071,1071
Onslow Cooperative Telephone Association,291,291
"Zayo Group, LLC",0,8155
"Zayo Group, LLC",0,103406
Oran Mutual Telephone Company,301,301
Oregon Telephone Corporation,14985,14985
Oregon Telephone Corporation,1915,1915
Oregon Telephone Corporation,24935,30322
"Orlando Telephone Company, Inc.",649,310
"Orlando Telephone Company, Inc.",20566,1329
"Orlando Telephone Company, Inc.",67472,46962
Osage Municipal Utilities,2118,2118
Osage Municipal Utilities,280,280
Osage Municipal Utilities,732,732
"Firstlight Fiber, Inc.",8037,881
"Firstlight Fiber, Inc.",6177,30467
"US Signal Company, LLC",0,2208
"US Signal Company, LLC",0,335
"NTT DoCoMo, Inc.",52559,52559
"NTT DoCoMo, Inc.",6164,6164
"NTT DoCoMo, Inc.",22744,22744
Palmer Mutual Telephone Company,427,427
"Palmetto Rural Telephone Cooperative, Inc.",47694,47694
Palo Cooperative Telephone Association,940,940
"Panhandle Telephone Cooperative, Inc.",3102,3102
"Panhandle Telephone Cooperative, Inc.",26495,26495
"Panhandle Telephone Cooperative, Inc.",633,633
Panora Communications Cooperative,427,427
Panora Communications Cooperative,5215,5215
Panora Communications Cooperative,67,0
Park Region Mutual Telephone Company,7591,7591
Park Region Mutual Telephone Company,25247,25247
Park Region Mutual Telephone Company,13,13
Park Region Mutual Telephone Company,2737,2737
Partner Communications Cooperative,3402,3402
Partner Communications Cooperative,4058,4058
"PATHWAYZ Communications, Inc.",25206,25206
Pattersonville Telephone Company (NY),744,744
Pattersonville Telephone Company (NY),590,590
Paul Bunyan Rural Telephone Cooperative,12711,12711
Paul Bunyan Rural Telephone Cooperative,65817,65817
"PCC Holdings, Inc.",46011,46011
"PCC Holdings, Inc.",2029875,2029875
Peace Valley Telephone Company,145,145
Peace Valley Telephone Company,376,376
The Peetz Cooperative Telephone Company,262,262
The Peetz Cooperative Telephone Company,1417,1417
"Pembroke Telephone Company, Inc.",8997,8997
Pembroke Telephone Cooperative,2485,2485
Pembroke Telephone Cooperative,1967,1967
"Penasco Valley Telephone Cooperative, Inc.",3566,3566
"Penasco Valley Telephone Cooperative, Inc.",10824,10824
"Penasco Valley Telephone Cooperative, Inc.",2602,2602
"Penasco Valley Telephone Cooperative, Inc.",32585,32585
"Pencor Services, Inc.",4082,4082
"Pencor Services, Inc.",238020,776791
"Pencor Services, Inc.",56422,76278
Pennsylvania Telephone Company,364,134
Pennsylvania Telephone Company,958,334
"Peoples Rural Telephone Cooperative Corporation, Inc.",18111,18111
"Peoples Telecommunications, LLC",242,242
"Peoples Telecommunications, LLC",5096,5096
Peoples Telephone Cooperative,23258,23258
Peoples Telephone Cooperative,55978,91178
Peoples Telephone Cooperative,23419,23419
Peoples Telephone Cooperative,132823,132823
"Perry-Spencer Rural Telephone Cooperative, Inc.",24971,24971
Phillips County Telephone Company,1154,1154
Phillips County Telephone Company,3849,3849
Phillips County Telephone Company,70,70
Phillips County Telephone Company,758,758
"Piedmont Rural Telephone Cooperative, Inc.",6373,6373
"Piedmont Rural Telephone Cooperative, Inc.",21115,21115
"Pierce Telecommunications, Inc.",1766,1766
"Pierce Telecommunications, Inc.",1126,1126
Pine Belt Communications Co. Inc.,0,1
Pine Belt Communications Co. Inc.,3486,3486
Pine Belt Communications Co. Inc.,6710,6710
Pine Telephone Company,157,157
Pine Telephone Company,21871,21871
Pine Telephone Company,51681,51681
"Pineland Telephone Cooperative, Inc.",36831,39331
Town of Pineville,2143,2143
Town of Pineville,3024,3024
"Pinpoint Holdings, Inc.",104,104
"Pinpoint Holdings, Inc.",340,340
"Pinpoint Holdings, Inc.",21147,21147
"Pinpoint Holdings, Inc.",222,222
"Pioneer Telephone Association, Inc.",3041,3041
"Pioneer Telephone Association, Inc.",6052,6052
"Pioneer Telephone Association, Inc.",9786,9786
"Pioneer Telephone Association, Inc.",35,35
Pioneer Telephone Cooperative (OK),63424,63424
Pioneer Telephone Cooperative (OK),70045,72010
Pioneer Telephone Cooperative (OK),327,327
Pioneer Telephone Cooperative (OR),13846,13846
Pioneer Telephone Cooperative (OR),4594,4594
Pioneer Telephone Cooperative (OR),1493,1493
Pioneer Telephone Holding Company,687,168
"Plains Cooperative Telephone Association, Inc.",5558,5558
Plainview Telephone Company Inc.,1283,1283
Plainview Telephone Company Inc.,294,294
Plant Telephone Company,3288,3288
Plant Telephone Company,11209,11209
Plant Telephone Company,15387,15387
"Planters Rural Telephone Cooperative, Inc.",19263,2879
"Poka Lambro Telephone Cooperative, Inc.",6764,6764
"Poka Lambro Telephone Cooperative, Inc.",20875,20875
"Poka Lambro Telephone Cooperative, Inc.",37,37
"Poka Lambro Telephone Cooperative, Inc.",18555,18555
"Poka Lambro Telephone Cooperative, Inc.",7371,7371
Polar Communication Mutual Aid Corporation,18402,18402
"Ponderosa Communications, Inc.",14732,14732
"Ponderosa Communications, Inc.",4609,4609
"Ponderosa Communications, Inc.",9403,9403
"Ponderosa Communications, Inc.",593,593
"TPC ACC Acquisition, LLC",6,2
"TPC ACC Acquisition, LLC",36799,5688
"TPC ACC Acquisition, LLC",62349,9917
Preston Telephone Company,1833,1833
"Progressive Rural Telephone Co-Op., Inc.",9159,9159
"Progressive Voice & Data, Inc.",1,0
"Progressive Voice & Data, Inc.",1523,1523
"Project Mutual Telephone Cooperative Association, Inc.",13441,13441
"Project Mutual Telephone Cooperative Association, Inc.",31069,31069
"Project Mutual Telephone Cooperative Association, Inc.",69,69
"Public Service Communications, Inc.",4346,4346
"Public Service Communications, Inc.",13759,13759
"Public Service Communications, Inc.",14698,14698
"Public Service Communications, Inc.",74617,74617
"Pulaski White Rural Telephone Cooperative, Inc.",9416,9416
"Metronet Holdings, LLC",2756866,2756866
"Radcliffe Telephone Company, Inc.",681,681
"Ragland Telephone Co., Inc.",1964,1964
"Ragland Telephone Co., Inc.",1323,1323
"Rainbow Telecommunications Association, Inc.",5972,5972
"Rainbow Telecommunications Association, Inc.",11300,11300
Randolph Telephone Membership Corporation,10166,10166
Randolph Telephone Membership Corporation,31076,31076
"Range Telephone Cooperative, Inc.",10915,10915
"Range Telephone Cooperative, Inc.",16820,16820
"Range Telephone Cooperative, Inc.",9064,9064
"Range Telephone Cooperative, Inc.",8045,8045
Readlyn Telephone Company,981,981
Readlyn Telephone Company,3,3
Red River Rural Telephone Association,13283,13283
Red River Rural Telephone Association,34,34
Red River Rural Telephone Association,822,822
Red River Rural Telephone Association,7074,7074
Reedsburg Utility Commission,15398,15398
Reservation Telephone Cooperative,926,926
Reservation Telephone Cooperative,25637,25637
"Reserve Holdings, Inc.",40064,40064
"Reserve Holdings, Inc.",112,112
Reynolds Telephone Company,2293,2293
Reynolds Telephone Company,133,133
"Smithville Holding Company, Inc.",10327,2213
"Smithville Holding Company, Inc.",34595,6043
"Richland-Grant Telephone Cooperative, Inc.",1862,506
"Richland-Grant Telephone Cooperative, Inc.",8241,4037
Ringgold Telephone Company,5477,5477
Ringgold Telephone Company,14405,14405
Ringsted Telephone Company,541,541
Ringsted Telephone Company,1788,1788
River Valley Telecommunications Cooperative,2015,2015
"Riviera Telephone Company, Inc.",1403,1403
"Riviera Telephone Company, Inc.",738,738
"Riviera Telephone Company, Inc.",276,276
"Riviera Telephone Company, Inc.",14802,14802
RJB Telecommunications Corp.,9709,9709
RJB Telecommunications Corp.,5964,5964
Roberts County Telephone Cooperative Association,3858,3858
Roberts County Telephone Cooperative Association,15,15
Robinson Communications Corporation,1414,1414
Robinson Communications Corporation,657,657
"Rochester Telephone Company, Inc.",20618,20618
"Rochester Telephone Company, Inc.",2515,2515
"Rochester Telephone Company, Inc.",4101,4101
"Comporium, Inc.",12021,12021
"Comporium, Inc.",128191,128191
"Comporium, Inc.",109049,109049
Rock Port Telephone Company,1180,1180
Rock Port Telephone Company,2559,2559
Rock Port Telephone Company,3816,3816
Rock Port Telephone Company,5267,5267
Rockwell Cooperative Telephone Association,2452,2452
Roggen Telephone Cooperative Company,467,467
Roggen Telephone Cooperative Company,5394,5394
"CommunityTel, Inc.",2923,2923
"CommunityTel, Inc.",5137,5137
"CommunityTel, Inc.",8265,8265
"CommunityTel, Inc.",10939,10939
Roome Telecommunications Inc.,681,681
Roome Telecommunications Inc.,358,358
Roome Telecommunications Inc.,10,10
"Roosevelt County Rural Telephone Cooperative, Inc.",36,36
"Roosevelt County Rural Telephone Cooperative, Inc.",10166,10166
"Roosevelt County Rural Telephone Cooperative, Inc.",507,507
Royal Telephone Company,653,653
Runestone Telephone Association,385,385
Runestone Telephone Association,10493,10493
Runestone Telephone Association,67,67
Rural Telephone Service Company,59330,65937
Rural Telephone Service Company,8502,8504
Rural Telephone Service Company,8678,8678
Rural Telephone Service Company,28810,28810
S&T Telephone Cooperative Association,6294,6294
S&T Telephone Cooperative Association,6942,6942
S&T Telephone Cooperative Association,17215,17215
S&T Telephone Cooperative Association,15783,15783
Sac County Mutual Telephone Company,1474,1474
Saddleback Communications Inc.,1428,1428
Saddleback Communications Inc.,2291,2291
Saddleback Communications Inc.,0,11
Salina Spavinaw Telephone Company Inc.,71,25
Salina Spavinaw Telephone Company Inc.,8615,2608
Sand Creek Communications Company,1380,107
"Sandhill Telephone Cooperative, Inc.",4751,1162
"Sandhill Telephone Cooperative, Inc.",7850,4800
"Sandhill Telephone Cooperative, Inc.",21254,8283
"Waimana Enterprises, Inc.",27,0
"Waimana Enterprises, Inc.",63,3
"Santa Rosa Telephone Cooperative, Inc.",7510,7510
"Santa Rosa Telephone Cooperative, Inc.",37094,37094
"Santa Rosa Telephone Cooperative, Inc.",10727,10727
"Santa Rosa Telephone Cooperative, Inc.",93570,93570
Santel Communications Cooperative,10164,10164
Scatter Creek Ltd.,4975,4975
Scatter Creek Ltd.,2326,2326
Schaller Telephone Company,1904,1904
"Schurz Communications, Inc.",105801,109056
"Schurz Communications, Inc.",90288,92040
Scio Mutual Telephone Association,2040,2036
Cypress Break,319,319
Scott County Telephone Cooperative,1,1
Scott County Telephone Cooperative,54605,54605
Scranton Telephone Company,626,626
Searsboro Telephone Company,239,49
Sebastian Enterprises,10014,10014
Sebastian Enterprises,8280,8280
Selectronics Corporation,9567,9567
Selectronics Corporation,18,18
Selectronics Corporation,10009,10009
Sharon Telephone Company (IL & WI),2631,2631
"Shawnee Communications, Inc.",12381,12381
"Shawnee Communications, Inc.",1685,1685
"Shawnee Communications, Inc.",2245,2245
Shenandoah Telecommunications Company,4722,4722
Shenandoah Telecommunications Company,197694,197694
Shenandoah Telecommunications Company,372499,372499
"Sherwood Mutual Telephone Association, Inc.",5219,1018
Sierra Tel Communications Group,17025,17025
Sierra Tel Communications Group,1673,1673
"Horizon Communications, Inc.",14623,13615
"Horizon Communications, Inc.",71853,71853
"Horizon Communications, Inc.",3300,3300
"Simply Bits, LLC",498145,498145
"Siren Telephone Company, Inc.",2813,2813
"Siren Telephone Company, Inc.",9969,9969
"Siskiyou Communications, Inc.",1379,1379
"Siskiyou Communications, Inc.",3314,3314
Sjoberg's Inc.,12465,12465
Sjoberg's Inc.,5170,5171
Skyline Telephone Membership Corporation,37572,37572
Skyline Telephone Membership Corporation,68284,68284
"Smartcom Telephone, LLC",47736,47736
"SmarterBroadband, LLC",12548,12548
"SmarterBroadband, LLC",47987,47987
"Smith Bagley, Inc.",51672,51672
"Smith Bagley, Inc.",0,157
"Consolidated Companies, Inc.",1503,1503
"Consolidated Companies, Inc.",6025,6025
South Arkansas Telephone Co.,5653,27365
South Central Rural Telecommunications Cooperative Inc.,6190,6190
South Central Rural Telecommunications Cooperative Inc.,36682,36682
"South Central Telephone Association, Inc.",8761,8761
"South Central Utah Telephone Association, Inc.",3110,396
"South Central Utah Telephone Association, Inc.",7986,1363
"South Central Utah Telephone Association, Inc.",35782,8021
"South Central Utah Telephone Association, Inc.",4691,997
"South Plains Telephone Cooperative, Inc.",8035,8035
"South Slope Cooperative Telephone Company, Inc.",1,0
"South Slope Cooperative Telephone Company, Inc.",13771,22089
"Southeast Nebraska Communications, Inc.",4164,4164
Southeastern Indiana Rural Telephone Cooperative,9332,9332
American Broadband Holding Company,26947,6973
American Broadband Holding Company,10068,1034
American Broadband Holding Company,96404,17742
Southern Montana Telephone Company,1398,1398
"Southwest Arkansas Telephone Cooperative, Inc.",8300,8300
"Southwest Texas Telcom, Inc.",4003,4003
"Southwest Texas Telcom, Inc.",3131,3131
"Southwest Texas Telcom, Inc.",1901,1901
Spencer Municipal Communications Utility,5940,1236
Spring Grove Communications,1404,1404
"Spring Valley Telephone Company, Inc.",1299,1299
"Springcom, Inc.",2588,2588
"Springcom, Inc.",2319,2319
"Springcom, Inc.",1044,1044
"Springville Cooperative Telephone Association, Inc.",584,584
"Springville Cooperative Telephone Association, Inc.",1264,1264
"Spruce Knob Seneca Rocks Telephone, Inc.",4395,4395
"SRT Communications, Inc.",374,374
"SRT Communications, Inc.",41122,41122
"St. John Telephone, Inc.",3055,3055
St. Paul Cooperative Telephone Association,311,207
"Standard Tobacco Company, Inc.",9328,9328
"Stanton Telecom, Inc.",1319,1319
"Stanton Telecom, Inc.",908,908
Star Telephone Membership Corporation,12784,12784
Star Telephone Membership Corporation,23495,23495
"StarVision, Inc.",11198,11198
"State Telephone Company, Inc.",1931,1931
"State Telephone Company, Inc.",7909,7909
Stayton Cooperative Telephone Company,1784,1784
Stayton Cooperative Telephone Company,7615,7615
"Steelville Telephone Exchange, Inc.",1805,158
"Steelville Telephone Exchange, Inc.",4764,1052
Stelle Telephone Company,55,55
Stoneham Cooperative Telephone Corporation,126,126
Stratford Mutual Telephone Company,4627,4627
"Sunflower Enterprises, Inc.",490,490
"Sunflower Enterprises, Inc.",1045,1045
Superior Telephone Cooperative,182,182
Surry Telephone Membership Corporation,18054,18054
Surry Telephone Membership Corporation,7679,7679
Surry Telephone Membership Corporation,31508,31508
Fiberhawk,450,450
Fiberhawk,4591,4591
Fiberhawk,2238,2238
"Sweetser Rural Telephone Company, Inc.",1137,1137
"Sweetser Rural Telephone Company, Inc.",3214,3214
Sycamore Telephone Company,330,88
Sycamore Telephone Company,2301,615
"Taylor Telephone Cooperative, Inc.",3199,3199
"Taylor Telephone Cooperative, Inc.",17105,17105
"Taylor Telephone Cooperative, Inc.",1427,1427
"Telapex, Inc.",11064,11064
"Telapex, Inc.",17920,17920
"Telapex, Inc.",413732,516930
"Telapex, Inc.",722169,722169
"TelAtlantic, Inc.",2240,2240
"TelAtlantic, Inc.",2629,2629
"Telefonica International Holding, BV",0,403
"Telefonica International Holding, BV",0,1319
